Instruction 1,Instruction 2,Conflict Type
"SUB R0, R0, 7","DIV R2, R0, R2",RAW
"DIV R14, R1, R2","STORE R13, R3, 10",No_CONFLICT
"OR R8, R1, R2","XOR R10, R3, 10",No_CONFLICT
"SUB R0, R0, 49","AND R0, R0, 45",WAW
"MUL R11, R1, R2","MUL R13, R3, 10",No_CONFLICT
"MUL R14, R1, R2","ADD R10, R3, 10",No_CONFLICT
"OR R1, R1, R2","XOR R10, R3, 10",No_CONFLICT
"MUL R3, R1, R2","XOR R5, R3, 10",No_CONFLICT
"MUL R13, R0, 25","DIV R13, R0, 3",WAW
"SUB R8, R0, 38","STORE R10, R8, R2",RAW
"DIV R12, R1, R2","DIV R8, R12, R3",WAR
"ADD R3, R1, R2","SHIFT R12, R3, 10",No_CONFLICT
"MUL R2, R0, 8","OR R6, R2, R2",RAW
"ADD R6, R0, 48","ADD R2, R6, R2",RAW
"OR R13, R0, 38","OR R13, R0, 38",WAW
"LOAD R13, R0, 13","MUL R13, R0, 47",WAW
"LOAD R5, R1, R2","OR R6, R5, R3",WAR
"XOR R0, R0, 15","SUB R1, R0, R2",RAW
"STORE R7, R0, 16","MUL R7, R0, 15",WAW
"MUL R12, R0, 22","LOAD R12, R0, 37",WAW
"DIV R8, R1, R2","SUB R7, R3, 10",No_CONFLICT
"LOAD R11, R1, R2","DIV R6, R11, R3",WAR
"SHIFT R11, R0, 14","SHIFT R14, R11, R2",RAW
"MUL R6, R0, 18","AND R10, R6, R2",RAW
"XOR R3, R0, 17","XOR R3, R0, 31",WAW
"XOR R6, R0, 7","DIV R1, R6, R2",RAW
"AND R10, R0, 50","STORE R10, R0, 18",WAW
"DIV R0, R1, R2","SHIFT R13, R0, R3",WAR
"OR R2, R1, R2","DIV R7, R2, R3",WAR
"SHIFT R7, R1, R2","STORE R13, R3, 10",No_CONFLICT
"DIV R14, R0, 23","LOAD R14, R14, R2",RAW
"DIV R14, R0, 21","OR R8, R14, R2",RAW
"STORE R15, R1, R2","MUL R9, R3, 10",No_CONFLICT
"SHIFT R3, R0, 39","STORE R3, R0, 6",WAW
"XOR R9, R1, R2","SHIFT R11, R3, 10",No_CONFLICT
"SUB R0, R1, R2","STORE R6, R3, 10",No_CONFLICT
"STORE R1, R1, R2","OR R15, R1, R3",WAR
"STORE R4, R0, 0","STORE R4, R0, 50",WAW
"AND R6, R1, R2","ADD R0, R6, R3",WAR
"STORE R1, R0, 4","XOR R1, R0, 10",WAW
"MUL R1, R1, R2","SUB R9, R1, R3",WAR
"AND R0, R0, 5","ADD R0, R0, 13",WAW
"LOAD R9, R0, 1","XOR R10, R9, R2",RAW
"AND R13, R0, 40","AND R0, R13, R2",RAW
"AND R0, R0, 34","SHIFT R0, R0, 40",WAW
"LOAD R9, R1, R2","LOAD R14, R3, 10",No_CONFLICT
"MUL R8, R0, 21","XOR R15, R8, R2",RAW
"SUB R4, R1, R2","OR R5, R4, R3",WAR
"MUL R5, R1, R2","OR R12, R5, R3",WAR
"AND R9, R1, R2","STORE R15, R9, R3",WAR
"AND R6, R0, 31","LOAD R10, R6, R2",RAW
"LOAD R2, R0, 25","LOAD R2, R0, 29",WAW
"DIV R10, R1, R2","DIV R14, R3, 10",No_CONFLICT
"ADD R3, R0, 41","AND R3, R0, 47",WAW
"MUL R6, R1, R2","AND R8, R3, 10",No_CONFLICT
"OR R2, R1, R2","XOR R13, R2, R3",WAR
"SUB R9, R0, 5","DIV R11, R9, R2",RAW
"SUB R0, R0, 50","OR R14, R0, R2",RAW
"STORE R12, R1, R2","SHIFT R5, R3, 10",No_CONFLICT
"OR R12, R0, 12","OR R12, R0, 23",WAW
"STORE R6, R0, 12","LOAD R11, R6, R2",RAW
"SHIFT R0, R0, 17","DIV R3, R0, R2",RAW
"AND R0, R0, 29","SHIFT R0, R0, 17",WAW
"SUB R4, R1, R2","AND R1, R4, R3",WAR
"OR R13, R0, 6","SHIFT R1, R13, R2",RAW
"OR R3, R1, R2","ADD R4, R3, 10",No_CONFLICT
"SHIFT R7, R1, R2","STORE R10, R3, 10",No_CONFLICT
"ADD R8, R0, 6","SUB R5, R8, R2",RAW
"OR R5, R0, 24","SHIFT R5, R0, 24",WAW
"AND R3, R0, 19","XOR R3, R0, 49",WAW
"AND R14, R1, R2","SHIFT R8, R3, 10",No_CONFLICT
"OR R14, R0, 23","MUL R14, R0, 16",WAW
"AND R0, R1, R2","DIV R1, R3, 10",No_CONFLICT
"SHIFT R8, R0, 23","OR R14, R8, R2",RAW
"SHIFT R7, R0, 42","MUL R7, R0, 41",WAW
"OR R6, R1, R2","SHIFT R1, R3, 10",No_CONFLICT
"OR R3, R0, 24","ADD R3, R0, 0",WAW
"SUB R8, R0, 21","XOR R8, R0, 1",WAW
"DIV R6, R1, R2","OR R13, R3, 10",No_CONFLICT
"LOAD R8, R1, R2","ADD R4, R8, R3",WAR
"MUL R11, R1, R2","OR R15, R11, R3",WAR
"AND R0, R0, 43","LOAD R8, R0, R2",RAW
"XOR R13, R0, 38","ADD R11, R13, R2",RAW
"STORE R0, R0, 49","STORE R12, R0, R2",RAW
"OR R13, R1, R2","DIV R6, R13, R3",WAR
"ADD R4, R0, 35","MUL R4, R0, 40",WAW
"SHIFT R15, R0, 12","OR R5, R15, R2",RAW
"SUB R2, R1, R2","SUB R6, R3, 10",No_CONFLICT
"OR R8, R1, R2","DIV R6, R8, R3",WAR
"STORE R14, R0, 1","AND R14, R0, 25",WAW
"XOR R1, R1, R2","MUL R10, R1, R3",WAR
"OR R4, R0, 39","OR R12, R4, R2",RAW
"DIV R10, R0, 5","XOR R12, R10, R2",RAW
"STORE R14, R0, 10","OR R14, R0, 33",WAW
"AND R0, R1, R2","LOAD R11, R0, R3",WAR
"STORE R5, R1, R2","ADD R10, R5, R3",WAR
"AND R3, R0, 38","DIV R3, R0, 34",WAW
"ADD R10, R1, R2","MUL R9, R3, 10",No_CONFLICT
"DIV R12, R1, R2","XOR R10, R3, 10",No_CONFLICT
"OR R10, R1, R2","AND R3, R10, R3",WAR
"XOR R10, R1, R2","XOR R4, R3, 10",No_CONFLICT
"STORE R2, R1, R2","STORE R7, R2, R3",WAR
"ADD R5, R0, 40","STORE R11, R5, R2",RAW
"SHIFT R5, R1, R2","STORE R2, R3, 10",No_CONFLICT
"SUB R6, R1, R2","MUL R12, R3, 10",No_CONFLICT
"STORE R11, R1, R2","STORE R14, R3, 10",No_CONFLICT
"STORE R11, R1, R2","XOR R0, R11, R3",WAR
"STORE R10, R1, R2","STORE R6, R10, R3",WAR
"STORE R1, R0, 21","STORE R14, R1, R2",RAW
"MUL R3, R1, R2","LOAD R6, R3, 10",No_CONFLICT
"SUB R4, R1, R2","AND R14, R3, 10",No_CONFLICT
"LOAD R9, R0, 20","MUL R9, R0, 29",WAW
"STORE R6, R0, 14","MUL R14, R6, R2",RAW
"XOR R6, R0, 3","DIV R6, R0, 34",WAW
"DIV R9, R1, R2","ADD R2, R9, R3",WAR
"DIV R7, R1, R2","AND R12, R3, 10",No_CONFLICT
"AND R15, R1, R2","STORE R7, R3, 10",No_CONFLICT
"DIV R14, R0, 38","ADD R14, R0, 50",WAW
"AND R0, R0, 4","STORE R12, R0, R2",RAW
"XOR R11, R1, R2","STORE R15, R3, 10",No_CONFLICT
"SUB R9, R0, 1","LOAD R9, R9, R2",RAW
"DIV R15, R1, R2","SHIFT R4, R15, R3",WAR
"AND R7, R1, R2","MUL R0, R7, R3",WAR
"STORE R9, R0, 18","DIV R8, R9, R2",RAW
"MUL R11, R1, R2","XOR R12, R3, 10",No_CONFLICT
"AND R5, R0, 42","LOAD R5, R0, 42",WAW
"DIV R3, R1, R2","OR R6, R3, 10",No_CONFLICT
"MUL R2, R1, R2","AND R5, R3, 10",No_CONFLICT
"LOAD R7, R1, R2","SHIFT R15, R7, R3",WAR
"DIV R2, R0, 26","LOAD R2, R0, 1",WAW
"SUB R15, R0, 26","AND R11, R15, R2",RAW
"ADD R15, R0, 20","DIV R15, R0, 28",WAW
"LOAD R11, R0, 20","XOR R11, R0, 1",WAW
"AND R5, R0, 11","SHIFT R5, R0, 10",WAW
"LOAD R2, R0, 19","OR R2, R0, 39",WAW
"MUL R8, R1, R2","AND R5, R3, 10",No_CONFLICT
"XOR R2, R1, R2","AND R13, R2, R3",WAR
"AND R8, R0, 19","XOR R13, R8, R2",RAW
"STORE R10, R0, 44","DIV R11, R10, R2",RAW
"OR R8, R0, 20","XOR R8, R0, 40",WAW
"MUL R13, R1, R2","ADD R10, R13, R3",WAR
"XOR R14, R1, R2","MUL R10, R14, R3",WAR
"STORE R9, R1, R2","SUB R2, R3, 10",No_CONFLICT
"LOAD R3, R0, 19","DIV R3, R0, 34",WAW
"LOAD R4, R0, 0","STORE R6, R4, R2",RAW
"DIV R9, R1, R2","OR R8, R9, R3",WAR
"ADD R6, R0, 16","SHIFT R6, R0, 49",WAW
"SUB R11, R1, R2","AND R8, R11, R3",WAR
"LOAD R0, R0, 6","XOR R0, R0, 12",WAW
"MUL R13, R0, 11","DIV R13, R0, 4",WAW
"DIV R12, R1, R2","DIV R14, R12, R3",WAR
"DIV R11, R1, R2","MUL R9, R11, R3",WAR
"XOR R15, R0, 20","XOR R6, R15, R2",RAW
"AND R8, R0, 34","DIV R8, R0, 13",WAW
"AND R0, R0, 0","SUB R5, R0, R2",RAW
"SUB R7, R1, R2","LOAD R14, R3, 10",No_CONFLICT
"SUB R10, R1, R2","STORE R0, R10, R3",WAR
"SHIFT R8, R0, 32","ADD R8, R0, 38",WAW
"SUB R8, R1, R2","ADD R1, R3, 10",No_CONFLICT
"ADD R13, R1, R2","STORE R10, R13, R3",WAR
"ADD R6, R1, R2","DIV R13, R3, 10",No_CONFLICT
"STORE R2, R1, R2","DIV R8, R2, R3",WAR
"ADD R8, R0, 21","ADD R10, R8, R2",RAW
"ADD R9, R1, R2","STORE R2, R9, R3",WAR
"STORE R1, R0, 10","SHIFT R1, R0, 31",WAW
"XOR R8, R0, 12","ADD R8, R0, 20",WAW
"MUL R5, R0, 34","DIV R5, R5, R2",RAW
"MUL R0, R1, R2","XOR R14, R0, R3",WAR
"SUB R6, R0, 22","LOAD R8, R6, R2",RAW
"LOAD R5, R0, 38","OR R5, R0, 42",WAW
"LOAD R6, R1, R2","SHIFT R5, R3, 10",No_CONFLICT
"OR R13, R0, 26","OR R13, R13, R2",RAW
"DIV R13, R0, 42","STORE R13, R0, 34",WAW
"AND R6, R1, R2","STORE R4, R6, R3",WAR
"XOR R0, R0, 37","MUL R8, R0, R2",RAW
"OR R14, R1, R2","SHIFT R15, R14, R3",WAR
"SUB R7, R0, 36","LOAD R7, R0, 13",WAW
"DIV R2, R0, 2","STORE R2, R0, 26",WAW
"LOAD R9, R0, 0","MUL R10, R9, R2",RAW
"XOR R3, R0, 14","ADD R3, R0, 18",WAW
"SHIFT R11, R1, R2","ADD R15, R11, R3",WAR
"ADD R13, R1, R2","ADD R6, R3, 10",No_CONFLICT
"ADD R12, R0, 38","ADD R5, R12, R2",RAW
"MUL R3, R1, R2","OR R9, R3, 10",No_CONFLICT
"STORE R3, R1, R2","AND R11, R3, 10",No_CONFLICT
"SHIFT R14, R0, 22","DIV R14, R0, 27",WAW
"DIV R8, R0, 0","OR R7, R8, R2",RAW
"ADD R14, R1, R2","LOAD R9, R3, 10",No_CONFLICT
"LOAD R8, R1, R2","DIV R14, R3, 10",No_CONFLICT
"SUB R4, R0, 9","ADD R4, R0, 24",WAW
"LOAD R14, R0, 8","OR R14, R0, 11",WAW
"ADD R10, R1, R2","AND R7, R3, 10",No_CONFLICT
"STORE R0, R0, 26","OR R0, R0, 3",WAW
"SUB R6, R0, 5","ADD R6, R0, 48",WAW
"SUB R9, R1, R2","AND R14, R3, 10",No_CONFLICT
"XOR R10, R0, 48","LOAD R7, R10, R2",RAW
"MUL R11, R0, 31","OR R3, R11, R2",RAW
"MUL R5, R1, R2","SUB R6, R3, 10",No_CONFLICT
"SHIFT R6, R0, 30","AND R6, R0, 35",WAW
"XOR R10, R1, R2","SUB R3, R3, 10",No_CONFLICT
"STORE R8, R0, 42","ADD R7, R8, R2",RAW
"OR R12, R1, R2","OR R0, R12, R3",WAR
"DIV R10, R1, R2","AND R6, R10, R3",WAR
"SHIFT R2, R0, 35","SUB R2, R0, 4",WAW
"LOAD R3, R1, R2","STORE R11, R3, 10",No_CONFLICT
"SHIFT R12, R1, R2","XOR R7, R12, R3",WAR
"DIV R3, R1, R2","DIV R7, R3, R3",WAR
"LOAD R0, R0, 5","SUB R11, R0, R2",RAW
"XOR R8, R0, 41","SUB R11, R8, R2",RAW
"AND R14, R0, 23","LOAD R14, R0, 49",WAW
"SUB R15, R1, R2","SUB R15, R3, 10",No_CONFLICT
"OR R14, R0, 4","DIV R14, R0, 50",WAW
"ADD R1, R1, R2","SUB R5, R1, R3",WAR
"OR R11, R1, R2","LOAD R14, R3, 10",No_CONFLICT
"MUL R7, R0, 39","OR R11, R7, R2",RAW
"MUL R9, R1, R2","SUB R8, R9, R3",WAR
"STORE R12, R0, 19","MUL R12, R12, R2",RAW
"ADD R12, R1, R2","SHIFT R5, R12, R3",WAR
"STORE R8, R1, R2","SHIFT R3, R8, R3",WAR
"XOR R5, R0, 34","OR R0, R5, R2",RAW
"XOR R2, R1, R2","OR R10, R3, 10",No_CONFLICT
"STORE R6, R1, R2","SUB R9, R6, R3",WAR
"SHIFT R15, R0, 41","XOR R2, R15, R2",RAW
"SUB R9, R0, 11","ADD R14, R9, R2",RAW
"OR R0, R1, R2","DIV R8, R0, R3",WAR
"SHIFT R3, R1, R2","MUL R9, R3, 10",No_CONFLICT
"LOAD R15, R0, 33","STORE R15, R0, 26",WAW
"SUB R15, R0, 1","STORE R9, R15, R2",RAW
"STORE R13, R1, R2","DIV R6, R13, R3",WAR
"STORE R13, R1, R2","SHIFT R5, R3, 10",No_CONFLICT
"SUB R1, R1, R2","STORE R2, R1, R3",WAR
"MUL R15, R0, 1","DIV R3, R15, R2",RAW
"DIV R11, R1, R2","XOR R8, R3, 10",No_CONFLICT
"LOAD R11, R1, R2","XOR R11, R3, 10",No_CONFLICT
"MUL R6, R1, R2","SHIFT R9, R3, 10",No_CONFLICT
"MUL R15, R0, 28","LOAD R15, R0, 19",WAW
"SUB R9, R1, R2","AND R12, R3, 10",No_CONFLICT
"ADD R5, R1, R2","SHIFT R7, R3, 10",No_CONFLICT
"ADD R5, R0, 50","DIV R5, R0, 48",WAW
"STORE R14, R1, R2","SHIFT R5, R14, R3",WAR
"AND R9, R1, R2","LOAD R6, R3, 10",No_CONFLICT
"AND R7, R0, 7","LOAD R7, R0, 23",WAW
"SHIFT R3, R0, 31","DIV R14, R3, R2",RAW
"STORE R4, R1, R2","LOAD R2, R4, R3",WAR
"OR R15, R1, R2","LOAD R0, R15, R3",WAR
"OR R2, R1, R2","DIV R6, R3, 10",No_CONFLICT
"SUB R8, R0, 43","LOAD R8, R0, 17",WAW
"STORE R15, R1, R2","SUB R12, R3, 10",No_CONFLICT
"LOAD R12, R0, 31","STORE R11, R12, R2",RAW
"XOR R9, R1, R2","AND R6, R9, R3",WAR
"LOAD R1, R0, 46","AND R13, R1, R2",RAW
"LOAD R14, R1, R2","XOR R3, R3, 10",No_CONFLICT
"ADD R14, R1, R2","XOR R6, R3, 10",No_CONFLICT
"DIV R6, R0, 8","SUB R6, R6, R2",RAW
"AND R7, R1, R2","XOR R10, R3, 10",No_CONFLICT
"MUL R15, R1, R2","AND R12, R3, 10",No_CONFLICT
"MUL R8, R0, 34","SHIFT R8, R0, 7",WAW
"OR R9, R1, R2","DIV R4, R3, 10",No_CONFLICT
"AND R10, R0, 13","DIV R15, R10, R2",RAW
"ADD R0, R1, R2","SUB R3, R0, R3",WAR
"LOAD R12, R1, R2","XOR R12, R3, 10",No_CONFLICT
"DIV R3, R0, 45","LOAD R12, R3, R2",RAW
"MUL R1, R0, 4","STORE R1, R0, 37",WAW
"SHIFT R13, R1, R2","SHIFT R14, R13, R3",WAR
"AND R8, R0, 1","SUB R8, R0, 6",WAW
"OR R15, R0, 20","DIV R13, R15, R2",RAW
"DIV R1, R0, 2","SUB R1, R0, 48",WAW
"LOAD R14, R1, R2","AND R3, R14, R3",WAR
"LOAD R14, R1, R2","OR R15, R3, 10",No_CONFLICT
"AND R0, R1, R2","SUB R5, R3, 10",No_CONFLICT
"DIV R14, R1, R2","LOAD R5, R3, 10",No_CONFLICT
"AND R12, R1, R2","AND R13, R3, 10",No_CONFLICT
"XOR R3, R1, R2","OR R8, R3, R3",WAR
"ADD R1, R1, R2","XOR R10, R1, R3",WAR
"SUB R9, R0, 43","MUL R2, R9, R2",RAW
"DIV R11, R0, 4","STORE R4, R11, R2",RAW
"SUB R7, R0, 30","XOR R0, R7, R2",RAW
"ADD R13, R1, R2","OR R9, R3, 10",No_CONFLICT
"OR R1, R1, R2","OR R9, R1, R3",WAR
"SHIFT R0, R0, 12","SHIFT R10, R0, R2",RAW
"SUB R11, R0, 18","OR R9, R11, R2",RAW
"AND R10, R1, R2","SUB R13, R3, 10",No_CONFLICT
"MUL R14, R0, 35","ADD R14, R0, 5",WAW
"SHIFT R5, R1, R2","OR R11, R5, R3",WAR
"DIV R4, R1, R2","OR R10, R4, R3",WAR
"SHIFT R2, R1, R2","ADD R13, R2, R3",WAR
"STORE R6, R1, R2","AND R12, R6, R3",WAR
"LOAD R14, R1, R2","MUL R9, R14, R3",WAR
"SHIFT R0, R1, R2","XOR R4, R3, 10",No_CONFLICT
"LOAD R13, R0, 8","AND R13, R0, 23",WAW
"XOR R11, R0, 11","XOR R11, R0, 0",WAW
"MUL R13, R0, 41","SHIFT R13, R0, 37",WAW
"LOAD R8, R1, R2","AND R10, R8, R3",WAR
"SHIFT R8, R0, 31","ADD R8, R0, 13",WAW
"ADD R9, R0, 10","SHIFT R9, R0, 42",WAW
"STORE R13, R1, R2","AND R14, R13, R3",WAR
"AND R14, R0, 28","MUL R14, R0, 39",WAW
"SUB R12, R0, 26","DIV R13, R12, R2",RAW
"MUL R3, R1, R2","SHIFT R8, R3, 10",No_CONFLICT
"ADD R4, R0, 6","XOR R4, R0, 48",WAW
"MUL R11, R0, 34","OR R15, R11, R2",RAW
"MUL R8, R1, R2","SUB R10, R3, 10",No_CONFLICT
"STORE R12, R1, R2","ADD R8, R3, 10",No_CONFLICT
"STORE R8, R1, R2","LOAD R13, R3, 10",No_CONFLICT
"SHIFT R0, R1, R2","SHIFT R4, R0, R3",WAR
"MUL R9, R1, R2","LOAD R10, R9, R3",WAR
"DIV R13, R0, 45","MUL R2, R13, R2",RAW
"OR R1, R0, 7","LOAD R2, R1, R2",RAW
"LOAD R7, R0, 6","DIV R11, R7, R2",RAW
"SHIFT R12, R0, 2","MUL R12, R0, 42",WAW
"SHIFT R2, R1, R2","MUL R7, R3, 10",No_CONFLICT
"ADD R13, R1, R2","SHIFT R15, R13, R3",WAR
"OR R13, R0, 13","STORE R13, R0, 45",WAW
"XOR R12, R1, R2","SHIFT R9, R3, 10",No_CONFLICT
"SHIFT R6, R1, R2","OR R13, R6, R3",WAR
"LOAD R15, R1, R2","SUB R0, R3, 10",No_CONFLICT
"XOR R2, R0, 47","MUL R2, R0, 20",WAW
"STORE R8, R0, 33","AND R13, R8, R2",RAW
"OR R0, R1, R2","STORE R4, R3, 10",No_CONFLICT
"ADD R3, R0, 16","AND R3, R0, 42",WAW
"MUL R10, R0, 49","LOAD R10, R0, 11",WAW
"XOR R9, R1, R2","STORE R10, R9, R3",WAR
"SHIFT R5, R0, 23","SUB R10, R5, R2",RAW
"XOR R15, R0, 30","DIV R1, R15, R2",RAW
"SUB R12, R1, R2","AND R5, R3, 10",No_CONFLICT
"XOR R4, R1, R2","XOR R14, R3, 10",No_CONFLICT
"SUB R9, R0, 21","DIV R14, R9, R2",RAW
"STORE R14, R1, R2","LOAD R13, R14, R3",WAR
"XOR R8, R0, 16","DIV R11, R8, R2",RAW
"SUB R3, R0, 31","STORE R3, R0, 7",WAW
"SUB R10, R1, R2","MUL R3, R10, R3",WAR
"XOR R13, R1, R2","SUB R8, R13, R3",WAR
"XOR R2, R0, 22","ADD R2, R0, 12",WAW
"STORE R3, R0, 5","SHIFT R4, R3, R2",RAW
"LOAD R0, R0, 36","AND R0, R0, 31",WAW
"SUB R10, R0, 38","SHIFT R10, R0, 41",WAW
"LOAD R12, R0, 48","AND R4, R12, R2",RAW
"AND R3, R1, R2","MUL R9, R3, 10",No_CONFLICT
"OR R1, R1, R2","OR R10, R1, R3",WAR
"MUL R11, R1, R2","STORE R7, R11, R3",WAR
"SUB R5, R0, 10","STORE R5, R0, 18",WAW
"SHIFT R11, R0, 29","SHIFT R0, R11, R2",RAW
"AND R14, R1, R2","SHIFT R15, R14, R3",WAR
"LOAD R6, R1, R2","AND R12, R3, 10",No_CONFLICT
"ADD R15, R0, 10","DIV R15, R0, 28",WAW
"STORE R14, R1, R2","LOAD R1, R14, R3",WAR
"AND R0, R1, R2","SUB R12, R3, 10",No_CONFLICT
"AND R0, R0, 17","SHIFT R0, R0, 30",WAW
"DIV R11, R1, R2","STORE R5, R3, 10",No_CONFLICT
"LOAD R3, R1, R2","SUB R8, R3, R3",WAR
"AND R9, R0, 2","STORE R9, R0, 40",WAW
"MUL R3, R1, R2","STORE R9, R3, 10",No_CONFLICT
"AND R6, R0, 35","STORE R6, R0, 36",WAW
"SUB R1, R1, R2","XOR R0, R3, 10",No_CONFLICT
"STORE R0, R1, R2","LOAD R14, R3, 10",No_CONFLICT
"SHIFT R7, R0, 18","MUL R10, R7, R2",RAW
"ADD R2, R1, R2","ADD R8, R3, 10",No_CONFLICT
"XOR R8, R1, R2","MUL R13, R3, 10",No_CONFLICT
"MUL R11, R1, R2","ADD R10, R11, R3",WAR
"DIV R4, R0, 21","DIV R6, R4, R2",RAW
"SHIFT R14, R1, R2","AND R11, R3, 10",No_CONFLICT
"SHIFT R0, R0, 1","DIV R0, R0, 32",WAW
"SHIFT R10, R1, R2","SUB R1, R3, 10",No_CONFLICT
"SUB R4, R0, 50","DIV R4, R0, 1",WAW
"SUB R1, R1, R2","AND R5, R3, 10",No_CONFLICT
"ADD R14, R0, 10","XOR R14, R0, 8",WAW
"XOR R7, R1, R2","MUL R2, R7, R3",WAR
"DIV R9, R0, 3","MUL R9, R0, 48",WAW
"LOAD R14, R0, 22","SUB R14, R0, 34",WAW
"ADD R12, R0, 43","DIV R6, R12, R2",RAW
"AND R14, R0, 4","XOR R8, R14, R2",RAW
"DIV R2, R1, R2","DIV R9, R2, R3",WAR
"DIV R13, R0, 48","XOR R13, R0, 36",WAW
"STORE R2, R0, 13","MUL R2, R0, 45",WAW
"OR R6, R0, 26","SHIFT R4, R6, R2",RAW
"SUB R15, R0, 19","OR R10, R15, R2",RAW
"ADD R14, R0, 5","STORE R5, R14, R2",RAW
"AND R10, R1, R2","SUB R5, R3, 10",No_CONFLICT
"MUL R11, R0, 48","XOR R11, R0, 37",WAW
"SHIFT R8, R0, 38","SHIFT R8, R0, 16",WAW
"STORE R8, R1, R2","AND R12, R8, R3",WAR
"LOAD R13, R0, 30","OR R13, R0, 45",WAW
"ADD R2, R0, 25","XOR R2, R0, 21",WAW
"DIV R8, R1, R2","AND R3, R8, R3",WAR
"OR R14, R0, 23","MUL R1, R14, R2",RAW
"LOAD R4, R1, R2","XOR R11, R4, R3",WAR
"OR R14, R0, 46","SUB R2, R14, R2",RAW
"STORE R5, R1, R2","ADD R14, R3, 10",No_CONFLICT
"DIV R1, R1, R2","XOR R2, R1, R3",WAR
"AND R13, R0, 40","OR R13, R0, 49",WAW
"OR R13, R0, 38","MUL R14, R13, R2",RAW
"LOAD R14, R0, 11","SUB R14, R0, 37",WAW
"SUB R9, R1, R2","XOR R9, R9, R3",WAR
"MUL R3, R0, 10","STORE R4, R3, R2",RAW
"SUB R2, R1, R2","AND R10, R3, 10",No_CONFLICT
"STORE R5, R0, 40","DIV R7, R5, R2",RAW
"AND R1, R0, 6","AND R1, R0, 49",WAW
"DIV R6, R1, R2","MUL R14, R3, 10",No_CONFLICT
"SHIFT R9, R0, 48","ADD R11, R9, R2",RAW
"MUL R10, R0, 5","XOR R10, R0, 41",WAW
"OR R0, R0, 26","ADD R13, R0, R2",RAW
"DIV R6, R1, R2","OR R11, R3, 10",No_CONFLICT
"OR R8, R0, 40","LOAD R8, R0, 8",WAW
"ADD R3, R0, 25","DIV R1, R3, R2",RAW
"AND R7, R1, R2","AND R3, R3, 10",No_CONFLICT
"LOAD R4, R0, 31","LOAD R6, R4, R2",RAW
"XOR R15, R1, R2","SUB R3, R3, 10",No_CONFLICT
"XOR R7, R0, 46","AND R7, R0, 6",WAW
"STORE R0, R1, R2","LOAD R6, R0, R3",WAR
"LOAD R11, R1, R2","MUL R4, R3, 10",No_CONFLICT
"AND R4, R0, 39","ADD R4, R0, 16",WAW
"MUL R6, R1, R2","AND R3, R3, 10",No_CONFLICT
"AND R3, R0, 29","LOAD R3, R0, 7",WAW
"XOR R3, R1, R2","DIV R9, R3, 10",No_CONFLICT
"SUB R13, R1, R2","SUB R14, R13, R3",WAR
"AND R2, R1, R2","DIV R12, R3, 10",No_CONFLICT
"LOAD R5, R0, 25","OR R10, R5, R2",RAW
"MUL R4, R1, R2","AND R0, R4, R3",WAR
"XOR R2, R1, R2","SHIFT R9, R3, 10",No_CONFLICT
"OR R9, R1, R2","MUL R2, R9, R3",WAR
"SUB R2, R1, R2","XOR R14, R3, 10",No_CONFLICT
"LOAD R5, R0, 34","AND R5, R5, R2",RAW
"SHIFT R4, R1, R2","ADD R14, R3, 10",No_CONFLICT
"SHIFT R1, R1, R2","SHIFT R9, R3, 10",No_CONFLICT
"OR R6, R1, R2","ADD R12, R3, 10",No_CONFLICT
"MUL R12, R0, 48","SUB R7, R12, R2",RAW
"ADD R4, R0, 45","SHIFT R4, R0, 27",WAW
"MUL R14, R0, 46","XOR R15, R14, R2",RAW
"XOR R3, R0, 12","AND R3, R0, 17",WAW
"SHIFT R6, R0, 0","ADD R12, R6, R2",RAW
"LOAD R12, R1, R2","SUB R7, R12, R3",WAR
"SHIFT R4, R1, R2","LOAD R1, R4, R3",WAR
"XOR R4, R1, R2","LOAD R7, R3, 10",No_CONFLICT
"OR R15, R1, R2","OR R8, R3, 10",No_CONFLICT
"ADD R7, R0, 4","DIV R7, R0, 33",WAW
"AND R5, R1, R2","AND R4, R3, 10",No_CONFLICT
"STORE R6, R1, R2","DIV R5, R3, 10",No_CONFLICT
"DIV R2, R0, 40","LOAD R2, R0, 17",WAW
"DIV R1, R1, R2","DIV R6, R3, 10",No_CONFLICT
"XOR R1, R0, 40","DIV R14, R1, R2",RAW
"SUB R3, R1, R2","OR R5, R3, 10",No_CONFLICT
"XOR R2, R1, R2","DIV R6, R2, R3",WAR
"ADD R12, R0, 20","SUB R14, R12, R2",RAW
"ADD R11, R0, 1","XOR R11, R0, 28",WAW
"SUB R2, R0, 10","ADD R2, R0, 39",WAW
"OR R2, R0, 21","STORE R7, R2, R2",RAW
"DIV R11, R0, 50","DIV R11, R0, 18",WAW
"LOAD R6, R1, R2","XOR R11, R6, R3",WAR
"XOR R6, R1, R2","DIV R5, R3, 10",No_CONFLICT
"OR R6, R0, 10","ADD R14, R6, R2",RAW
"SHIFT R3, R1, R2","SUB R4, R3, 10",No_CONFLICT
"ADD R11, R0, 18","ADD R8, R11, R2",RAW
"LOAD R13, R0, 35","OR R0, R13, R2",RAW
"LOAD R7, R0, 37","LOAD R10, R7, R2",RAW
"STORE R13, R1, R2","SUB R9, R3, 10",No_CONFLICT
"AND R13, R0, 30","STORE R3, R13, R2",RAW
"STORE R9, R0, 41","XOR R15, R9, R2",RAW
